method,method_label,coverage,p10_well_coverage,worst_well_coverage,width,winkler,rmse,macro_well_coverage,macro_well_winkler,rank_winkler
wl_pcqr,WL-PCQR,0.9262152777777778,0.8626736111111111,0.8272569444444444,0.12120683098724189,0.158948116364778,0.04201428397607118,0.9262152777777778,0.158948116364778,1
knn_local_cqr,kNN Local RF-CQR,0.9396219135802468,0.8864583333333333,0.8524305555555556,0.1521755352796403,0.18102967079637564,0.05101724336484061,0.9396219135802468,0.18102967079637564,2
global_rf_cqr,Global RF-CQR,0.9364390432098766,0.8944444444444445,0.8541666666666666,0.15353678142421495,0.1864129596707214,0.05101724336484061,0.9364390432098766,0.1864129596707214,3
qrf_cqr,RF-Leaf QRF+CQR,0.9659529320987654,0.9378472222222223,0.921875,0.1637004398411422,0.19621771492054074,0.05101724336484061,0.9659529320987654,0.19621771492054074,4
gr_mondrian_cqr,GR-Mondrian RF-CQR,0.9604552469135802,0.9347222222222222,0.9131944444444444,0.18019024809532966,0.1995151955180673,0.05101724336484061,0.9604552469135802,0.1995151955180673,5
