target,method,method_label,coverage,p10_well_coverage,worst_well_coverage,width,winkler,rmse,macro_well_coverage,macro_well_winkler,rank_winkler
PHIF,proper_split_wl_pcqr,Proper-split WL-PCQR,0.9719328703703703,0.9510416666666667,0.9322916666666666,0.06668474000023018,0.07726589939696304,0.01400968650437027,0.9719328703703703,0.07726589939696304,1
SW,proper_split_wl_pcqr,Proper-split WL-PCQR,0.9890046296296297,0.975,0.9583333333333334,0.3158799960258462,0.33997100545439235,0.0716864438757804,0.9890046296296297,0.33997100545439235,1
VSH,proper_split_wl_pcqr,Proper-split WL-PCQR,0.9777199074074074,0.9421875000000001,0.9192708333333334,0.3303084331043696,0.34112927976010715,0.05021763349202346,0.9777199074074074,0.34112927976010715,1
