gap_steps,target,method,method_label,coverage,p10_well_coverage,worst_well_coverage,width,winkler,rmse,macro_well_coverage,macro_well_winkler,rank_winkler
0,PHIF,wl_pcqr,WL-PCQR,0.9091435185185185,0.8208333333333333,0.8020833333333334,0.04359067839493432,0.06641519440159364,0.014195984466672496,0.9091435185185185,0.06641519440159364,1
0,SW,wl_pcqr,WL-PCQR,0.9542824074074074,0.915625,0.890625,0.17255334543761172,0.21616946768404519,0.06701640505543824,0.9542824074074074,0.21616946768404519,1
0,VSH,wl_pcqr,WL-PCQR,0.9152199074074074,0.8515625,0.7890625,0.14747646912917975,0.1942596870086953,0.04483046240610283,0.9152199074074074,0.1942596870086953,1
3,PHIF,wl_pcqr,WL-PCQR,0.9166666666666666,0.7333333333333334,0.6666666666666666,0.044322710111985804,0.04984402550911631,0.009972703957582402,0.9166666666666666,0.04984402550911631,1
3,SW,wl_pcqr,WL-PCQR,0.9722222222222222,0.9499999999999998,0.75,0.20533758860282056,0.2271146447317994,0.05309168673266194,0.9722222222222222,0.2271146447317994,1
3,VSH,wl_pcqr,WL-PCQR,0.9814814814814815,0.9166666666666666,0.9166666666666666,0.15075435926322125,0.15544858422118704,0.030833102453954278,0.9814814814814815,0.15544858422118704,1
