method_label,n_target_seed,coverage_mean,coverage_sd,coverage_ci95_low,coverage_ci95_high,p10_well_coverage_mean,p10_well_coverage_sd,p10_well_coverage_ci95_low,p10_well_coverage_ci95_high,worst_well_coverage_mean,worst_well_coverage_sd,worst_well_coverage_ci95_low,worst_well_coverage_ci95_high,width_mean,width_sd,width_ci95_low,width_ci95_high,winkler_mean,winkler_sd,winkler_ci95_low,winkler_ci95_high,rmse_mean,rmse_sd,rmse_ci95_low,rmse_ci95_high,rank_winkler
WL-PCQR,9,0.9262152777777778,0.022867951167221342,0.9112748830151932,0.9411556725403624,0.8626736111111112,0.050981842066427044,0.8293654742943788,0.8959817479278436,0.8272569444444444,0.0582600451072841,0.7891937149743521,0.8653201739145367,0.12120683098724186,0.05929914834013427,0.08246472073835415,0.15994894123612957,0.15894811636477799,0.07014993400790134,0.11311682614628243,0.20477940658327354,0.04201428397607115,0.02300016023980952,0.026987512619395596,0.0570410553327467,1
Global RF-CQR,9,0.9364390432098766,0.02109740131228899,0.9226554076858478,0.9502226787339054,0.8944444444444445,0.030579836667161554,0.8744656178218989,0.9144232710669901,0.8541666666666666,0.04367320268554277,0.8256335075787787,0.8826998257545545,0.1535367814242149,0.07712830648902627,0.10314628785138441,0.20392727499704538,0.18641295967072136,0.08894987773656843,0.12829903954949665,0.24452687979194607,0.051017243364840564,0.027812646995743824,0.03284631399428793,0.0691881727353932,2
Source-only RF-CQR,9,0.902854938271605,0.004940381011669637,0.8996272226773142,0.9060826538658958,0.8018055555555557,0.013420936173672007,0.7930372105887566,0.8105739005223547,0.6395833333333333,0.17167602118525463,0.5274216661589669,0.7517450005076997,0.14221779224814016,0.07273571539416436,0.0946971248572861,0.18973845963899422,0.2010042189942072,0.08682601853120842,0.14427788688715104,0.25773055110126336,0.052331916549364844,0.027849430381680973,0.03413695536666661,0.07052687773206308,3
NGBoost PI,9,0.9287229938271605,0.012171708689990292,0.9207708108163668,0.9366751768379542,0.890625,0.01601086057181188,0.8801645710930829,0.9010854289069171,0.8628472222222222,0.02314633962842601,0.8477249469983172,0.8779694974461272,0.16414890822683925,0.0874377699187992,0.10702289854655711,0.2212749179071214,0.22036976890740964,0.11361089469330679,0.1461439843744492,0.2945955534403701,0.05405519792180988,0.02835931500934687,0.03552711211570325,0.0725832837279165,4
ExtraTrees-PCQR,9,0.9406828703703705,0.007327232211863765,0.9358957453252862,0.9454699954154547,0.8907986111111111,0.01206378627281298,0.8829169374128734,0.8986802848093489,0.8463541666666666,0.04021730523823047,0.8200788605776894,0.8726294727556438,0.2108517037816526,0.10496503046767106,0.1422745505427742,0.279428857020531,0.22547695164509443,0.10738154594473262,0.15532100829453577,0.2956328949956531,0.05971653373743402,0.03231883839761722,0.038601559317657436,0.0808315081572106,5
CatBoost Quantile+CQR,9,0.9256365740740742,0.012129504003890717,0.9177119647915323,0.9335611833566161,0.8843749999999999,0.0249633520447976,0.8680656099973988,0.900684390002601,0.8559027777777778,0.037490052210645754,0.8314092770001559,0.8803962785553997,0.22568304215167861,0.10515677635516384,0.15698061493297158,0.2943854693703857,0.26889376140231064,0.12526540355223587,0.1870536977481832,0.3507338250564381,0.05287438118974959,0.027520528415599602,0.03489430262489118,0.070854459754608,6
HGB-CQR,9,0.9331597222222222,0.007517581630073274,0.928248235557241,0.9380712088872034,0.88125,0.020207058056839918,0.8680480554028646,0.8944519445971354,0.8541666666666666,0.014084184669781208,0.8449649993490762,0.863368333984257,0.24243511420430508,0.09359712831208591,0.1812849903737423,0.30358523803486787,0.27594420434583294,0.11080197700901744,0.20355357936660823,0.34833482932505766,0.05684614861409148,0.035644713495182355,0.03355826913057234,0.08013402809761061,7
LightGBM Quantile+CQR,9,0.9429012345679012,0.015526901846884688,0.9327569920279365,0.9530454771078659,0.9043402777777777,0.023706500276969272,0.8888520309301577,0.9198285246253977,0.8828125,0.028969525340217434,0.8638857434443913,0.9017392565556087,0.25442115994502784,0.1266053041175371,0.17170569458823692,0.33713662530181876,0.28172768497879497,0.1364101979693632,0.192606355638811,0.3708490143187789,0.05167645346680827,0.02483590132306525,0.03545033126907231,0.06790257566454423,8
