well,method,method_label,target,seed,n,calibration_n,qhat,rmse,mae,r2,corr,coverage,width,width_std,width_cv,winkler,protocol,alpha,target_coverage,local_calibration_frac,local_calibration_strategy,stress_curves,clip_intervals,qhat_lower,qhat_upper,selected_level
0,qrf_cqr,RF-Leaf QRF+CQR,PHIF,42,128,32,0.03823492125983599,0.03465925050878274,0.024123102853142786,0.869576027029758,0.9363044399476831,0.9140625,0.1138343099778431,0.034830177817748935,0.3059725826469044,0.16162935960055258,,,,,,,,,,
1,qrf_cqr,RF-Leaf QRF+CQR,PHIF,42,128,32,0.0,0.0068466212729250495,0.0060669437221181136,0.9766727469857408,0.9885619177038841,1.0,0.04685735503813722,0.014240405590521423,0.30390971873959066,0.04685735503813722,,,,,,,,,,
2,qrf_cqr,RF-Leaf QRF+CQR,PHIF,42,128,32,0.0,0.011397813647848143,0.00903159989411426,0.9655885943718356,0.9925950042103442,1.0,0.06759102632655764,0.03279896540699676,0.48525621209733727,0.06759102632655764,,,,,,,,,,
3,qrf_cqr,RF-Leaf QRF+CQR,PHIF,42,128,32,0.0,0.007682715903203298,0.006402571437529368,0.9845202374293119,0.9951025740950162,0.9921875,0.041153041623473385,0.011757879470745018,0.28571106792841316,0.042840541623473394,,,,,,,,,,
4,qrf_cqr,RF-Leaf QRF+CQR,PHIF,42,128,32,0.0,0.010015702945654301,0.007096382899399437,0.9796902192105231,0.9910568472790552,0.9453125,0.05075127579560314,0.018043437937303855,0.35552678537525667,0.05778252579560314,,,,,,,,,,
5,qrf_cqr,RF-Leaf QRF+CQR,PHIF,42,128,32,0.0,0.011609918103637236,0.009291417232713137,0.9727778187689012,0.9890605377346394,0.9609375,0.0489358332890528,0.020793983728332403,0.42492346263947495,0.056045208289052795,,,,,,,,,,
6,qrf_cqr,RF-Leaf QRF+CQR,PHIF,42,128,32,0.0,0.008898861090037645,0.006893597997115895,0.9869362021302615,0.9952878534124167,0.9921875,0.04459248402237265,0.016126854835571282,0.36164961852047134,0.04717060902237265,,,,,,,,,,
7,qrf_cqr,RF-Leaf QRF+CQR,PHIF,42,128,32,0.0,0.027077221799665544,0.008304617505646802,0.7978103363212382,0.9022448487258758,0.984375,0.051335362450785176,0.021563601752884957,0.420053560030044,0.08913333120078519,,,,,,,,,,
8,qrf_cqr,RF-Leaf QRF+CQR,PHIF,42,128,32,0.0,0.02083311897111585,0.013833293835691129,0.9578671662540845,0.9932533200434788,0.9375,0.06484939643667773,0.03823405811017931,0.5895823278403679,0.07275096467814743,,,,,,,,,,
0,knn_local_cqr,kNN Local RF-CQR,PHIF,42,128,32,0.03880478928807975,0.03465925050878275,0.024123102853142793,0.869576027029758,0.936304439947683,0.8984375,0.10803254088623752,0.05418110788016552,0.5015258128309723,0.14911308850258082,,,,,,,,,,
1,knn_local_cqr,kNN Local RF-CQR,PHIF,42,128,32,0.0005094339040071754,0.006846621272925051,0.006066943722118115,0.9766727469857408,0.9885619177038838,0.9921875,0.031511221135641324,0.00886191349116558,0.2812304052902017,0.03157060628269715,,,,,,,,,,
2,knn_local_cqr,kNN Local RF-CQR,PHIF,42,128,32,0.00039502497084842715,0.011397813647848145,0.009031599894114261,0.9655885943718356,0.992595004210344,0.984375,0.054196947593717154,0.03341441169337678,0.6165367825484397,0.05463109516298464,,,,,,,,,,
3,knn_local_cqr,kNN Local RF-CQR,PHIF,42,128,32,0.0018198473982896442,0.007682715903203301,0.006402571437529369,0.9845202374293119,0.9951025740950163,0.984375,0.03251006791005698,0.011110354474607422,0.3417511924412326,0.03456716643093359,,,,,,,,,,
4,knn_local_cqr,kNN Local RF-CQR,PHIF,42,128,32,0.0016611087126804638,0.010015702945654296,0.0070963828993994334,0.9796902192105232,0.9910568472790554,0.8984375,0.04019486840906776,0.01379094844800792,0.3431022166226759,0.055116843657976616,,,,,,,,,,
5,knn_local_cqr,kNN Local RF-CQR,PHIF,42,128,32,0.0025923041895039383,0.011609918103637247,0.009291417232713144,0.9727778187689011,0.9890605377346392,0.9296875,0.046513139046128145,0.021815113018955345,0.46900969202101794,0.0526491779651814,,,,,,,,,,
6,knn_local_cqr,kNN Local RF-CQR,PHIF,42,128,32,0.00020495086495535747,0.008898861090037642,0.0068935979971158955,0.9869362021302615,0.9952878534124167,0.9296875,0.03522174538354101,0.016490131957489267,0.46818043166012563,0.041467521126140654,,,,,,,,,,
7,knn_local_cqr,kNN Local RF-CQR,PHIF,42,128,32,8.464308123599246e-06,0.027077221799665537,0.008304617505646802,0.7978103363212383,0.9022448487258757,0.9609375,0.03486413429662365,0.0174558863913938,0.5006832019082798,0.07997084370087089,,,,,,,,,,
8,knn_local_cqr,kNN Local RF-CQR,PHIF,42,128,32,0.008157105937848588,0.02083311897111585,0.013833293835691127,0.9578671662540845,0.9932533200434788,0.921875,0.061466930366112754,0.044749711266858776,0.7280290556290684,0.07215097003317354,,,,,,,,,,
0,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,42,128,32,0.036626164747332476,0.03465925050878275,0.02412310285314279,0.869576027029758,0.9363044399476831,0.9296875,0.10459046050645035,0.05633138973753672,0.5385901301587885,0.12716670390689766,,,,,,,,,,
1,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,42,128,32,0.0009600869729365999,0.0068466212729250495,0.0060669437221181136,0.9766727469857408,0.9885619177038842,0.9921875,0.03241252727350018,0.008640564347509842,0.2665810127855779,0.032471912420556,,,,,,,,,,
2,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,42,128,32,0.000698890333039525,0.011397813647848146,0.00903159989411426,0.9655885943718356,0.9925950042103442,0.9921875,0.05480467831809935,0.033592072680575666,0.6129416997140155,0.05523518635205635,,,,,,,,,,
3,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,42,128,32,0.002666672277465272,0.007682715903203294,0.006402571437529363,0.9845202374293119,0.9951025740950161,0.984375,0.03420371766840824,0.010221796485872597,0.29885045201720306,0.03715265231267344,,,,,,,,,,
4,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,42,128,32,0.0016988611834232016,0.010015702945654303,0.0070963828993994334,0.9796902192105231,0.9910568472790554,0.8984375,0.04027037335055324,0.01354764190219557,0.3364170921452222,0.0567024474291716,,,,,,,,,,
5,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,42,128,32,0.004481055871825913,0.011609918103637243,0.00929141723271314,0.9727778187689011,0.9890605377346394,0.9375,0.05029064241077209,0.026200996134992556,0.5209914783148681,0.059751727505119444,,,,,,,,,,
6,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,42,128,32,0.06034410628802812,0.008898861090037655,0.006893597997115906,0.9869362021302615,0.9952878534124167,0.9296875,0.15137392137754513,0.17534717288973936,1.1583710806592769,0.1589860362198472,,,,,,,,,,
7,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,42,128,32,1.3401821195698806e-05,0.02707722179966554,0.008304617505646806,0.7978103363212383,0.9022448487258757,0.9609375,0.034874009322767845,0.017449727816245802,0.5003648320083912,0.07995250436660309,,,,,,,,,,
8,gr_mondrian_cqr,GR-Mondrian RF-CQR,PHIF,42,128,32,0.017782266080231587,0.020833118971115862,0.013833293835691134,0.9578671662540844,0.9932533200434784,0.953125,0.07992564386191292,0.04487943396762043,0.5615148255190584,0.08635424248167178,,,,,,,,,,
