experiment,setting,target,method,method_label,splits,n,rmse,mae,coverage,width,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,macro_well_width,macro_well_winkler
depth_feature,no_depth,PHIF,wl_pcqr,WL-PCQR,27,3456,0.014195984466672496,0.008703647864171033,0.9091435185185185,0.0435906783949343,0.5213125936528575,0.06641519440159366,0.9091435185185185,0.8203125,0.734375,0.0435906783949343,0.06641519440159366
depth_feature,no_depth,SW,wl_pcqr,WL-PCQR,27,3456,0.06701640505543824,0.037547121116229605,0.9542824074074074,0.17255334543761164,0.933281206185577,0.21616946768404513,0.9542824074074074,0.9109375,0.8828125,0.17255334543761164,0.21616946768404513
depth_feature,no_depth,VSH,wl_pcqr,WL-PCQR,27,3456,0.04483046240610283,0.031439572282883355,0.9152199074074074,0.1474764691291797,0.6149719811037735,0.19425968700869536,0.9152199074074074,0.83125,0.765625,0.1474764691291797,0.19425968700869536
depth_feature,with_depth,PHIF,wl_pcqr,WL-PCQR,27,3456,0.013882256875983958,0.008675248091820301,0.9094328703703703,0.04347268468017775,0.49014688620933,0.0650907272030272,0.9094328703703703,0.840625,0.8046875,0.04347268468017775,0.0650907272030272
depth_feature,with_depth,SW,wl_pcqr,WL-PCQR,27,3456,0.0699086152902581,0.040327748548367855,0.9673032407407407,0.19291071724345205,0.9134188139676213,0.2278815845954833,0.9673032407407407,0.9234375,0.90625,0.19291071724345205,0.2278815845954833
depth_feature,with_depth,VSH,wl_pcqr,WL-PCQR,27,3456,0.048780800803100315,0.03342168192799864,0.9207175925925926,0.16422069371122336,0.6527657532241301,0.209543571332664,0.9207175925925926,0.8640625,0.7890625,0.16422069371122336,0.209543571332664
nominal_coverage,alpha_0.05,PHIF,wl_pcqr,WL-PCQR,27,3456,0.013920884732507957,0.00877319600167992,0.9696180555555556,0.06306036577752423,0.5163506511972863,0.08695808319272828,0.9696180555555556,0.9375,0.8828125,0.06306036577752423,0.08695808319272828
nominal_coverage,alpha_0.05,SW,wl_pcqr,WL-PCQR,27,3456,0.07272946338806088,0.04283820202210227,0.9864004629629629,0.282029388677411,0.7105054802437557,0.32434343207255445,0.9864004629629629,0.965625,0.9296875,0.282029388677411,0.32434343207255445
nominal_coverage,alpha_0.05,VSH,wl_pcqr,WL-PCQR,27,3456,0.048104156194526466,0.033658075296035046,0.9594907407407407,0.26539051588538587,0.5251610525321165,0.30683227840823785,0.9594907407407407,0.903125,0.828125,0.26539051588538587,0.30683227840823785
nominal_coverage,alpha_0.10,PHIF,wl_pcqr,WL-PCQR,27,3456,0.014195984466672494,0.008703647864171033,0.9091435185185185,0.04359067839493431,0.5213125936528572,0.06641519440159364,0.9091435185185185,0.8203125,0.734375,0.04359067839493431,0.06641519440159364
nominal_coverage,alpha_0.10,SW,wl_pcqr,WL-PCQR,27,3456,0.06701640505543824,0.037547121116229605,0.9542824074074074,0.17255334543761164,0.933281206185577,0.21616946768404516,0.9542824074074074,0.9109375,0.8828125,0.17255334543761164,0.21616946768404516
nominal_coverage,alpha_0.10,VSH,wl_pcqr,WL-PCQR,27,3456,0.04483046240610283,0.03143957228288335,0.9152199074074074,0.14747646912917972,0.6149719811037733,0.19425968700869525,0.9152199074074074,0.83125,0.765625,0.14747646912917972,0.19425968700869525
nominal_coverage,alpha_0.20,PHIF,wl_pcqr,WL-PCQR,27,3456,0.01431630518853569,0.008796986171768478,0.8246527777777778,0.03226841710593097,0.5936881451185673,0.04825561197884979,0.8246527777777778,0.7546875,0.703125,0.03226841710593097,0.04825561197884979
nominal_coverage,alpha_0.20,SW,wl_pcqr,WL-PCQR,27,3456,0.06446895739309075,0.035478938358477624,0.9010416666666666,0.1145129736220026,1.166282007633546,0.16482093356038593,0.9010416666666666,0.84375,0.8203125,0.1145129736220026,0.16482093356038593
nominal_coverage,alpha_0.20,VSH,wl_pcqr,WL-PCQR,27,3456,0.041661218070832715,0.027291653387656444,0.8208912037037037,0.09918942467116525,0.6916839299810186,0.1548877631599079,0.8208912037037037,0.7359375,0.6171875,0.09918942467116525,0.1548877631599079
physical_bounds,clip_to_0_1,PHIF,wl_pcqr,WL-PCQR,27,3456,0.014195984466672494,0.008703647864171033,0.9091435185185185,0.04359067839493431,0.5213125936528571,0.06641519440159364,0.9091435185185185,0.8203125,0.734375,0.04359067839493431,0.06641519440159364
physical_bounds,clip_to_0_1,SW,wl_pcqr,WL-PCQR,27,3456,0.06701640505543824,0.03754712111622961,0.9542824074074074,0.17255334543761164,0.933281206185577,0.21616946768404516,0.9542824074074074,0.9109375,0.8828125,0.17255334543761164,0.21616946768404516
physical_bounds,clip_to_0_1,VSH,wl_pcqr,WL-PCQR,27,3456,0.044830462406102826,0.03143957228288335,0.9152199074074074,0.1474764691291797,0.6149719811037735,0.19425968700869525,0.9152199074074074,0.83125,0.765625,0.1474764691291797,0.19425968700869525
physical_bounds,no_clip,PHIF,wl_pcqr,WL-PCQR,27,3456,0.014195984466672494,0.008703647864171032,0.9091435185185185,0.04500017715289882,0.5245462017060257,0.06782469315955815,0.9091435185185185,0.8203125,0.734375,0.04500017715289882,0.06782469315955815
physical_bounds,no_clip,SW,wl_pcqr,WL-PCQR,27,3456,0.06701640505543824,0.03754712111622961,0.9493634259259259,0.18635552820301643,0.9222380037926677,0.23138300783946752,0.9493634259259259,0.8828125,0.875,0.18635552820301643,0.23138300783946752
physical_bounds,no_clip,VSH,wl_pcqr,WL-PCQR,27,3456,0.04483046240610283,0.031439572282883355,0.9152199074074074,0.14906948817481366,0.6308957727645356,0.1958527060543293,0.9152199074074074,0.83125,0.765625,0.14906948817481366,0.1958527060543293
