experiment,setting,target,method,method_label,splits,n,rmse,mae,coverage,width,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,macro_well_width,macro_well_winkler
mechanism_ablation,stratified20_no_depth,PHIF,location_scale,Proximity location-scale recalibration,27,3456,0.013881579520070174,0.00819951469368173,0.9155092592592593,0.04600517752299026,0.5594106371141728,0.06851665947739238,0.9155092592592593,0.8390625,0.734375,0.04600517752299026,0.06851665947739238
mechanism_ablation,stratified20_no_depth,PHIF,proximity_scale,Proximity scale recalibration,27,3456,0.015557785408924111,0.010147640762141252,0.9557291666666666,0.0538059622021652,0.47624797996247537,0.06691128509376656,0.9557291666666666,0.9109375,0.890625,0.0538059622021652,0.06691128509376656
mechanism_ablation,stratified20_no_depth,PHIF,raw_proximity,Raw proximity score,27,3456,0.015557785408924111,0.010147640762141252,0.828125,0.03975689568621859,0.6286048311509012,0.0660886944087574,0.828125,0.765625,0.7109375,0.03975689568621859,0.0660886944087574
mechanism_ablation,stratified20_no_depth,PHIF,uniform_cqr,Uniform target-well CQR,27,3456,0.015557785408924111,0.010147640762141252,0.921875,0.05110270712584981,0.43625921375568816,0.06794182388320934,0.921875,0.85625,0.7734375,0.05110270712584981,0.06794182388320934
mechanism_ablation,stratified20_no_depth,PHIF,wl_pcqr,WL-PCQR selected path,27,3456,0.014195984466672494,0.008703647864171032,0.9091435185185185,0.04359067839493431,0.5213125936528575,0.06641519440159363,0.9091435185185185,0.8203125,0.734375,0.04359067839493431,0.06641519440159363
mechanism_ablation,stratified20_no_depth,SW,location_scale,Proximity location-scale recalibration,27,3456,0.062342660590461056,0.033010763366541615,0.9441550925925926,0.16545945412560317,0.9913378183092623,0.21536687838520915,0.9441550925925926,0.90625,0.8671875,0.16545945412560317,0.21536687838520915
mechanism_ablation,stratified20_no_depth,SW,proximity_scale,Proximity scale recalibration,27,3456,0.07814395480260884,0.049704456648473505,0.9641203703703703,0.2191575250311499,0.8215291677615608,0.24780887478683308,0.9641203703703703,0.9109375,0.8828125,0.2191575250311499,0.24780887478683308
mechanism_ablation,stratified20_no_depth,SW,raw_proximity,Raw proximity score,27,3456,0.07814395480260884,0.049704456648473505,0.9322916666666666,0.19462810232543518,0.9033034807147138,0.23889049216436348,0.9322916666666666,0.875,0.8359375,0.19462810232543518,0.23889049216436348
mechanism_ablation,stratified20_no_depth,SW,uniform_cqr,Uniform target-well CQR,27,3456,0.07814395480260884,0.049704456648473505,0.9641203703703703,0.21125520316741628,0.8097565236258355,0.24941695417938606,0.9641203703703703,0.9203125,0.875,0.21125520316741628,0.24941695417938606
mechanism_ablation,stratified20_no_depth,SW,wl_pcqr,WL-PCQR selected path,27,3456,0.06701640505543824,0.03754712111622961,0.9542824074074074,0.1725533454376116,0.933281206185577,0.2161694676840451,0.9542824074074074,0.9109375,0.8828125,0.1725533454376116,0.2161694676840451
mechanism_ablation,stratified20_no_depth,VSH,location_scale,Proximity location-scale recalibration,27,3456,0.03997011327140254,0.024609403901822154,0.9114583333333334,0.1507341457452815,0.686423330204079,0.2066395438439475,0.9114583333333334,0.821875,0.765625,0.1507341457452815,0.2066395438439475
mechanism_ablation,stratified20_no_depth,VSH,proximity_scale,Proximity scale recalibration,27,3456,0.05934998988298887,0.045526955729257954,0.9395254629629629,0.18976707915999405,0.5569979487483465,0.2142029738662576,0.9395254629629629,0.9078125,0.8515625,0.18976707915999405,0.2142029738662576
mechanism_ablation,stratified20_no_depth,VSH,raw_proximity,Raw proximity score,27,3456,0.05934998988298887,0.045526955729257954,0.8188657407407407,0.15565328495849887,0.6878057636824759,0.2154873587772483,0.8188657407407407,0.75,0.71875,0.15565328495849887,0.2154873587772483
mechanism_ablation,stratified20_no_depth,VSH,uniform_cqr,Uniform target-well CQR,27,3456,0.05934998988298887,0.045526955729257954,0.9233217592592593,0.19825243397937872,0.33020144988935596,0.24188010094956885,0.9233217592592593,0.8875,0.8359375,0.19825243397937872,0.24188010094956885
mechanism_ablation,stratified20_no_depth,VSH,wl_pcqr,WL-PCQR selected path,27,3456,0.04483046240610284,0.031439572282883355,0.9152199074074074,0.1474764691291797,0.6149719811037733,0.19425968700869534,0.9152199074074074,0.83125,0.765625,0.1474764691291797,0.19425968700869534
