experiment,setting,method,method_label,splits,n,rmse,mae,coverage,width,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,macro_well_width,macro_well_winkler
mechanism_ablation,stratified20_no_depth,location_scale,Proximity location-scale recalibration,81,10368,0.03873145112731125,0.0219398939873485,0.9237075617283951,0.12073292579795829,0.7457239285425048,0.163507693902183,0.9237075617283951,0.8515625,0.734375,0.12073292579795829,0.163507693902183
mechanism_ablation,stratified20_no_depth,proximity_scale,Proximity scale recalibration,81,10368,0.051017243364840606,0.03512635104662423,0.953125,0.15424352213110304,0.6182583654907943,0.17630771124895245,0.953125,0.90625,0.8515625,0.15424352213110304,0.17630771124895245
mechanism_ablation,stratified20_no_depth,raw_proximity,Raw proximity score,81,10368,0.051017243364840606,0.03512635104662423,0.8597608024691358,0.13001276099005088,0.7399046918493636,0.17348884845012308,0.8597608024691358,0.765625,0.7109375,0.13001276099005088,0.17348884845012308
mechanism_ablation,stratified20_no_depth,uniform_cqr,Uniform target-well CQR,81,10368,0.051017243364840606,0.03512635104662423,0.9364390432098766,0.15353678142421495,0.5254057290902931,0.1864129596707214,0.9364390432098766,0.8828125,0.7734375,0.15353678142421495,0.1864129596707214
mechanism_ablation,stratified20_no_depth,wl_pcqr,WL-PCQR selected path,81,10368,0.04201428397607118,0.025896780421094657,0.9262152777777778,0.12120683098724189,0.6898552603140693,0.158948116364778,0.9262152777777778,0.8515625,0.734375,0.12120683098724189,0.158948116364778
