experiment,setting,method,method_label,splits,n,rmse,mae,coverage,width,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,macro_well_width,macro_well_winkler
depth_feature,no_depth,wl_pcqr,WL-PCQR,81,10368,0.04201428397607119,0.025896780421094664,0.9262152777777778,0.12120683098724189,0.6898552603140694,0.15894811636477807,0.9262152777777778,0.8515625,0.734375,0.12120683098724189,0.15894811636477807
depth_feature,with_depth,wl_pcqr,WL-PCQR,81,10368,0.044190557656447464,0.02747489285606226,0.9324845679012346,0.13353469854495104,0.6854438178003606,0.1675052943770582,0.9324845679012346,0.8671875,0.7890625,0.13353469854495104,0.1675052943770582
nominal_coverage,alpha_0.05,wl_pcqr,WL-PCQR,81,10368,0.04491816810503176,0.028423157773272416,0.9718364197530864,0.20349342344677368,0.5840057279910528,0.23937793122450682,0.9718364197530864,0.921875,0.828125,0.20349342344677368,0.23937793122450682
nominal_coverage,alpha_0.10,wl_pcqr,WL-PCQR,81,10368,0.04201428397607118,0.025896780421094664,0.9262152777777778,0.1212068309872419,0.6898552603140692,0.158948116364778,0.9262152777777778,0.8515625,0.734375,0.1212068309872419,0.158948116364778
nominal_coverage,alpha_0.20,wl_pcqr,WL-PCQR,81,10368,0.04014882688415304,0.023855859305967515,0.8488618827160493,0.08199027179969963,0.8172180275777107,0.12265476956638122,0.8488618827160493,0.7578125,0.6171875,0.08199027179969963,0.12265476956638122
physical_bounds,clip_to_0_1,wl_pcqr,WL-PCQR,81,10368,0.04201428397607119,0.025896780421094664,0.9262152777777778,0.12120683098724189,0.6898552603140693,0.158948116364778,0.9262152777777778,0.8515625,0.734375,0.12120683098724189,0.158948116364778
physical_bounds,no_clip,wl_pcqr,WL-PCQR,81,10368,0.04201428397607119,0.025896780421094664,0.9245756172839507,0.1268083978435763,0.6925599927544097,0.16502013568445167,0.9245756172839507,0.8515625,0.734375,0.1268083978435763,0.16502013568445167
