dataset,protocol,method,method_label,coverage_mean,p10_well_coverage_mean,worst_well_coverage_mean,width_mean,winkler_mean,rmse_mean,macro_well_coverage_mean,macro_well_winkler_mean,coverage_sd,p10_well_coverage_sd,worst_well_coverage_sd,width_sd,winkler_sd,rmse_sd,macro_well_coverage_sd,macro_well_winkler_sd,rank_winkler
Mendeley_GOM_DNS,cross_well,wl_pcqr,WL-PCQR,0.9447619047619048,0.935300310283688,0.9296875,0.0893236591283924,0.0980374954136803,0.0347257880490427,0.9577515514184397,0.0931985406536177,0.006598288790738627,0.007137748593506865,0.0078125,0.002195272902780849,0.0012719241555840396,0.0009853468812848422,0.007278959376361059,0.0032441161625861273,1
Mendeley_GOM_DNS,cross_well,ngboost_cqr_signed,NGBoost PI,0.9257142857142857,0.8796376329787234,0.8723404255319149,0.29414125771080385,0.3030629716831801,0.1150850277051486,0.9088264627659575,0.2877675052461322,0.0,0.0,0.0,0.0017033044887052326,0.0019662875115967764,0.0006380486136072223,0.0,0.0012516954668696377,2
Mendeley_GOM_DNS,cross_well,catboost_cqr_signed,CatBoost Quantile+CQR,0.9561904761904761,0.8899268617021278,0.8794326241134751,0.35091759819820223,0.35578011828564504,0.1545958302706909,0.9319038120567376,0.3348540050018421,0.011895234282663645,0.03986168935147914,0.04429076594608795,0.0006302791953220015,0.0007799345697014538,0.0024338440980159618,0.022145382973043942,0.0012525961618903923,3
Mendeley_GOM_DNS,cross_well,global_rf_cqr,Global RF-CQR,0.9428571428571427,0.8452460106382979,0.8297872340425533,0.357594593454072,0.36160607235674425,0.140373497349612,0.9070811170212766,0.33953166428875275,0.0,0.0,0.0,0.00031482572487927935,0.00029544244189438706,0.001136980704797793,0.0,0.00022794848164585206,4
Mendeley_GOM_DNS,cross_well,lightgbm_cqr_signed,LightGBM Quantile+CQR,0.9314285714285714,0.8069481382978724,0.7872340425531915,0.3598117542074135,0.3652277167505147,0.12436021767831927,0.8858045212765958,0.3406840773067163,0.0,0.0,0.0,0.00035329519065381885,0.0003991237013041626,0.00015810984762683417,0.0,0.000489023249485602,5
Mendeley_GOM_DNS,cross_well,extratrees_pcqr,ExtraTrees-PCQR,0.9771428571428572,0.9601396276595745,0.9574468085106383,0.3919484133205664,0.3942605326086857,0.1521455709412943,0.9709109042553191,0.3613255349580727,0.0,0.0,0.0,0.0022515007559772305,0.0022895330269403612,0.0004543124705882256,0.0,0.0014157066228010558,6
Mendeley_GOM_DNS,cross_well,hgb_cqr_signed,HGB-CQR,0.9142857142857143,0.8413397606382979,0.8297872340425533,0.391517067314824,0.40490158097606255,0.14099279487303285,0.8875498670212766,0.3678761870528701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
Mendeley_GOM_DNS,cross_well,source_only_rf_cqr,Source-only RF-CQR,0.0030441400304414,0.0011299435028248588,0.0,0.0670950560652752,2.2472712227998657,0.14042470029129872,0.005649717514124294,2.0891117939783483,0.0026363025990393868,0.0009785597782875014,0.0,0.002473499189101732,0.007583481355521334,0.0005285829143627066,0.0048927988914375066,0.008860137958756908,8
Mendeley_GOM_DNS,within_well,global_rf_cqr,Global RF-CQR,0.8249619482496194,0.8151388888888889,0.8131944444444444,0.05314310861879456,0.08134051004808696,0.01680299102100648,0.8229166666666666,0.0868824948949244,0.016036002667964525,0.006860253545147115,0.00601406530405858,0.001473061385657519,0.0010401349833090755,2.39842692589374e-05,0.01097463932588819,0.0010050245109276023,1
Mendeley_GOM_DNS,within_well,wl_pcqr,WL-PCQR,0.8249619482496194,0.8151388888888889,0.8131944444444444,0.05314310861879456,0.08134051004808696,0.016802991021006478,0.8229166666666666,0.0868824948949244,0.016036002667964525,0.006860253545147115,0.00601406530405858,0.001473061385657519,0.0010401349833090755,2.3984269258932343e-05,0.01097463932588819,0.0010050245109276023,1
