method,method_label,target,splits,n,rmse,mae,r2,corr,coverage,width,width_std,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,worst_well,macro_well_width,macro_well_winkler,dataset,protocol,seed
hgb_cqr_signed,HGB-CQR,PHIF,9,1152,0.014324420812787132,0.009018529514208977,0.9462761609593885,0.9757895635849412,0.9418402777777778,0.11854628607136851,0.04080707305644,0.35876168256128926,0.13126249000720328,0.9418402777777778,0.890625,0.859375,4,0.11854628607136851,0.13126249000720328,SPWLA_PDDA_2021,cross_well,123
lightgbm_cqr_signed,LightGBM Quantile+CQR,PHIF,9,1152,0.01946800486591257,0.012901789934006678,0.9196156022174349,0.971145008582184,0.9366319444444444,0.09049433926213712,0.029906654603715013,0.34522458382074817,0.10260911778684062,0.9366319444444444,0.8984375,0.8671875,4,0.09049433926213712,0.10260911778684062,SPWLA_PDDA_2021,cross_well,123
catboost_cqr_signed,CatBoost Quantile+CQR,PHIF,9,1152,0.018326967530533,0.011886236624112126,0.9284944509611148,0.9736513678939482,0.9123263888888888,0.08124811081715859,0.017662144419443956,0.24951550015857066,0.09801628230856307,0.9123263888888888,0.865625,0.859375,4,0.08124811081715859,0.09801628230856307,SPWLA_PDDA_2021,cross_well,123
source_only_rf_cqr,Source-only RF-CQR,PHIF,9,1440,0.0165969118484764,0.010222863974033254,0.9395609794100425,0.9735160135029576,0.9027777777777778,0.04584151755219744,0.0201247862873543,0.429812396135342,0.08502200256334763,0.9027777777777778,0.8087500000000001,0.41875,0,0.04584151755219744,0.08502200256334763,SPWLA_PDDA_2021,cross_well,123
ngboost_cqr_signed,NGBoost PI,PHIF,45,1440,0.023400731833216778,0.01749440968025642,0.5892365135566254,0.9062620437242701,0.8666666666666667,0.06694636897971104,0.0048877962732508055,0.03866956340485131,0.11323209555351028,0.8666666666666667,0.82125,0.75625,,0.06694636897971105,0.11323209555351028,SPWLA_PDDA_2021,within_well,123
global_rf_cqr,Global RF-CQR,PHIF,45,1440,0.029182341904452347,0.02280182210327569,0.5462546314655435,0.9030088801236389,0.8930555555555556,0.10184104650199548,0.026919659547006012,0.31990933639372315,0.12921314734500355,0.8930555555555555,0.8275,0.8125,,0.10184104650199545,0.12921314734500358,SPWLA_PDDA_2021,within_well,123
wl_pcqr,WL-PCQR,PHIF,45,1440,0.029182341904452347,0.022801822103275693,0.5462546314655434,0.9030088801236389,0.8930555555555556,0.10184104650199548,0.026919659547006012,0.31990933639372315,0.12921314734500355,0.8930555555555555,0.8275,0.8125,,0.10184104650199545,0.12921314734500358,SPWLA_PDDA_2021,within_well,123
extratrees_pcqr,ExtraTrees-PCQR,PHIF,45,1440,0.034014693581313545,0.027653212226928816,0.4540250022948977,0.8996136989749733,0.8888888888888888,0.11734049179024379,0.025767069970072765,0.2696041029924539,0.14225926289500043,0.8888888888888888,0.83875,0.79375,,0.11734049179024379,0.14225926289500043,SPWLA_PDDA_2021,within_well,123
catboost_cqr_signed,CatBoost Quantile+CQR,PHIF,45,1440,0.031191149398405234,0.02479790628065229,0.5031598840567386,0.8990872256947315,0.8576388888888888,0.10183812138661923,0.016698950246505015,0.19601296669529195,0.14596437309643426,0.8576388888888888,0.7925,0.7875,,0.10183812138661923,0.14596437309643426,SPWLA_PDDA_2021,within_well,123
lightgbm_cqr_signed,LightGBM Quantile+CQR,PHIF,45,1440,0.025486744153531256,0.019587006350155495,0.6002284575696473,0.9062396808205987,0.8583333333333333,0.13072468787046937,0.02527279852702116,0.23667133213860936,0.1674399540186679,0.8583333333333333,0.7887500000000001,0.74375,,0.13072468787046937,0.1674399540186679,SPWLA_PDDA_2021,within_well,123
hgb_cqr_signed,HGB-CQR,PHIF,45,1440,0.03041428241052783,0.023881562060259168,0.49160705080975986,0.8991591797465637,0.8805555555555555,0.14584027639593955,0.029109614793564473,0.2298731506017377,0.17498673315456598,0.8805555555555555,0.7937500000000001,0.74375,,0.14584027639593958,0.17498673315456598,SPWLA_PDDA_2021,within_well,123
wl_pcqr,WL-PCQR,SW,9,1152,0.06665255036901152,0.03730827115194187,0.7399470592625745,0.8944023832937084,0.9461805555555556,0.16670470920852437,0.13475104320816994,0.9571012997753628,0.21693940228022435,0.9461805555555556,0.9125,0.90625,6,0.16670470920852437,0.21693940228022435,SPWLA_PDDA_2021,cross_well,42
global_rf_cqr,Global RF-CQR,SW,9,1152,0.07777091148362554,0.04902365715498518,0.6621535796753173,0.874405433952421,0.9618055555555556,0.20539745738219203,0.13602725971399351,0.818964226268271,0.24629991341133234,0.9618055555555556,0.93125,0.90625,8,0.20539745738219203,0.24629991341133234,SPWLA_PDDA_2021,cross_well,42
extratrees_pcqr,ExtraTrees-PCQR,SW,9,1152,0.09377105976007119,0.0751990151921858,0.5466037287081658,0.851853044923243,0.9314236111111112,0.31572136687825736,0.1470555333819029,0.5312628596800454,0.3293745697637343,0.9314236111111112,0.8703125,0.7890625,0,0.31572136687825736,0.3293745697637343,SPWLA_PDDA_2021,cross_well,42
ngboost_cqr_signed,NGBoost PI,SW,9,1152,0.08118326777352654,0.053864570210443455,0.5906628743374084,0.8586461140349313,0.9210069444444444,0.21716652994972682,0.06516984696551625,0.33408739562563433,0.3209811166653333,0.9210069444444444,0.875,0.875,0,0.21716652994972682,0.3209811166653333,SPWLA_PDDA_2021,cross_well,42
