target,variant,coverage,p10_well_coverage,worst_well_coverage,width,winkler,rmse,macro_well_coverage,macro_well_winkler
PHIF,WL-PCQR,0.8935185185185185,0.855,0.8083333333333332,0.0945308275811113,0.1239544452198527,0.029045786137825,0.8935185185185185,0.1239544452198527
SW,WL-PCQR,0.9115740740740742,0.8579166666666667,0.7229166666666668,0.3156220347751721,0.4581238126827869,0.1293985060297501,0.9115740740740742,0.458123812682787
VSH,WL-PCQR,0.799537037037037,0.7066666666666667,0.6416666666666666,0.2740232267500114,0.66949181360142,0.0910432175272843,0.799537037037037,0.66949181360142
