method,method_label,target,splits,n,rmse,mae,r2,corr,coverage,width,width_std,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,worst_well,macro_well_width,macro_well_winkler,seed,frac,strategy
wl_pcqr,WL-PCQR,PHIF,9,1296,0.01789122023502715,0.011042906944469959,0.9310859698379462,0.9717554579029124,0.7160493827160493,0.03432688873139319,0.020822792107502812,0.6258143766276947,0.10137085215012834,0.7160493827160495,0.49722222222222223,0.4861111111111111,1,0.03432688873139319,0.10137085215012835,42,0.1,contiguous
wl_pcqr,WL-PCQR,PHIF,9,1296,0.01873551755978432,0.010848222252998573,0.920095749537658,0.9619534759117668,0.8325617283950617,0.04814177035167732,0.02901566878696278,0.5678144482868711,0.0831845718755863,0.8325617283950618,0.7374999999999999,0.6319444444444444,3,0.04814177035167732,0.0831845718755863,42,0.1,random
wl_pcqr,WL-PCQR,PHIF,9,1296,0.015259916391959196,0.009271737889005227,0.9425635086620265,0.9725104629376013,0.8842592592592593,0.04235858291698595,0.021423698386362364,0.5043541512333527,0.06432777137480666,0.8842592592592592,0.8222222222222222,0.8055555555555556,2,0.04235858291698596,0.06432777137480666,42,0.1,stratified
wl_pcqr,WL-PCQR,PHIF,9,1152,0.018316906431834316,0.010965118025953572,0.9256419906100858,0.9683806764081088,0.6640625,0.02985455387326119,0.020661060773448245,0.6830993461041382,0.11154678513540148,0.6640625,0.4625,0.4375,0,0.02985455387326119,0.11154678513540148,42,0.2,contiguous
wl_pcqr,WL-PCQR,PHIF,9,1152,0.015245647668713145,0.008963458359793373,0.9454953620341183,0.9734198277265474,0.8958333333333334,0.04440250058742019,0.023903307640809678,0.5491183049909016,0.06448781835529233,0.8958333333333334,0.8328125,0.7890625,2,0.04440250058742019,0.06448781835529233,42,0.2,random
wl_pcqr,WL-PCQR,PHIF,9,1152,0.014293104195944607,0.00885860021599092,0.9451558603758481,0.9734757712191602,0.9105902777777778,0.04316365922093035,0.023073914411902777,0.526981885423036,0.06522665177476702,0.9105902777777778,0.8203125,0.8203125,0,0.04316365922093035,0.06522665177476702,42,0.2,stratified
wl_pcqr,WL-PCQR,PHIF,9,1008,0.019259202971527636,0.011759777465555508,0.9131520305272743,0.9614756655026981,0.7390873015873016,0.035820981681245895,0.022388152868658813,0.6325713780719711,0.10084881442893184,0.7390873015873015,0.6214285714285714,0.5357142857142857,0,0.035820981681245895,0.10084881442893184,42,0.3,contiguous
wl_pcqr,WL-PCQR,PHIF,9,1008,0.012997441888498601,0.00790877520179011,0.9607635315351117,0.9811382877954229,0.8888888888888888,0.04128027029458307,0.025565286623080496,0.642002800604843,0.060178891697475576,0.8888888888888888,0.8071428571428572,0.75,6,0.04128027029458307,0.060178891697475576,42,0.3,random
wl_pcqr,WL-PCQR,PHIF,9,1008,0.013542845277791222,0.00826820309905033,0.9563621255177691,0.978910199261586,0.9126984126984127,0.04379410085055412,0.023764812904093397,0.5127155263573397,0.05979589880693465,0.9126984126984126,0.880357142857143,0.8303571428571429,4,0.043794100850554116,0.05979589880693465,42,0.3,stratified
wl_pcqr,WL-PCQR,PHIF,9,1296,0.018537432772437475,0.011442052805821928,0.9266835714089595,0.9701919236284657,0.7662037037037037,0.04211853392414165,0.022666163504541537,0.5705449963158807,0.1051240856444649,0.7662037037037037,0.5083333333333333,0.4305555555555556,0,0.042118533924141666,0.1051240856444649,7,0.1,contiguous
wl_pcqr,WL-PCQR,PHIF,9,1296,0.017816806885345485,0.010472849185847724,0.9286399966097998,0.9669190056765595,0.8125,0.039742054823092884,0.02289611717858462,0.6098790407715967,0.08469067337291536,0.8125,0.6666666666666666,0.6666666666666666,7,0.03974205482309287,0.08469067337291535,7,0.1,random
wl_pcqr,WL-PCQR,PHIF,9,1296,0.015191873736422298,0.008905032859737379,0.9429796782537572,0.9725528308051922,0.8858024691358025,0.04637648795836894,0.022864131222261344,0.526535828714347,0.06957709868299292,0.8858024691358026,0.8138888888888889,0.7361111111111112,2,0.04637648795836894,0.06957709868299292,7,0.1,stratified
wl_pcqr,WL-PCQR,PHIF,9,1152,0.018568420666842726,0.011340924300939505,0.9240214955444633,0.9675987328757915,0.6944444444444444,0.03299526256077592,0.0214760438837382,0.6437971093880664,0.10851652126170003,0.6944444444444444,0.53125,0.40625,0,0.03299526256077592,0.10851652126170003,7,0.2,contiguous
wl_pcqr,WL-PCQR,PHIF,9,1152,0.01838601149463655,0.010130794528872836,0.9171218838389971,0.9592135671093859,0.8697916666666666,0.045654402952763094,0.026829903265415796,0.5866434273684616,0.07227244458771556,0.8697916666666666,0.7921875,0.7421875,5,0.045654402952763094,0.07227244458771556,7,0.2,random
wl_pcqr,WL-PCQR,PHIF,9,1152,0.013947920541511984,0.008342583216784194,0.947821970477424,0.974150705731823,0.8932291666666666,0.04187333701394455,0.02301307705819691,0.533435914561385,0.06818549644573402,0.8932291666666666,0.765625,0.734375,0,0.04187333701394455,0.06818549644573402,7,0.2,stratified
wl_pcqr,WL-PCQR,PHIF,9,1008,0.019730136009280808,0.012181179685088726,0.9089545034435219,0.9601754951116658,0.7420634920634921,0.038033254478494226,0.023323757958073475,0.6255297680658305,0.10473129967592364,0.7420634920634922,0.5642857142857143,0.5,0,0.03803325447849423,0.10473129967592364,7,0.3,contiguous
