method,method_label,target,splits,n,rmse,mae,r2,corr,coverage,width,width_std,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,worst_well,macro_well_width,macro_well_winkler,seed,stress_setting,hidden_logs
wl_pcqr,WL-PCQR,PHIF,9,1152,0.01429310419594461,0.00885860021599092,0.9451558603758481,0.9734757712191602,0.9105902777777778,0.04316365922093032,0.023073914411902773,0.5269818854230361,0.06522665177476702,0.9105902777777778,0.8203125,0.8203125,0,0.04316365922093032,0.06522665177476702,42,observed,none
wl_pcqr,WL-PCQR,PHIF,9,1152,0.06135470758132086,0.050011506771136374,0.15823704493097532,0.7096874854144288,0.9340277777777778,0.17902789735476776,0.023467555115723873,0.15295163585364369,0.20602511505696983,0.9340277777777778,0.875,0.84375,7,0.17902789735476776,0.20602511505696983,42,hidden_DEN_NEU,DEN+NEU
wl_pcqr,WL-PCQR,PHIF,9,1152,0.01394792054151198,0.008342583216784188,0.947821970477424,0.974150705731823,0.8932291666666666,0.04187333701394452,0.023013077058196916,0.5334359145613854,0.06818549644573403,0.8932291666666666,0.765625,0.734375,0,0.04187333701394452,0.06818549644573403,7,observed,none
wl_pcqr,WL-PCQR,PHIF,9,1152,0.059402853928203915,0.046637325467946335,0.21952548322279924,0.7854627334396547,0.9079861111111112,0.17830667564406796,0.02535983167865689,0.15981800912404903,0.22414821534141133,0.9079861111111112,0.803125,0.796875,4,0.17830667564406796,0.22414821534141133,7,hidden_DEN_NEU,DEN+NEU
wl_pcqr,WL-PCQR,PHIF,9,1152,0.014346928662560897,0.008909760159737986,0.9450060271440043,0.9730956523425215,0.9236111111111112,0.04573503894992805,0.024103636220742113,0.5035199809741511,0.06583343498427989,0.9236111111111112,0.8765625,0.8515625,6,0.04573503894992805,0.06583343498427989,123,observed,none
wl_pcqr,WL-PCQR,PHIF,9,1152,0.06130792632046854,0.04974225908095882,0.162525031363887,0.7435672142849477,0.9401041666666666,0.17987576264083455,0.02165681857882537,0.14081022744315771,0.20820506306585493,0.9401041666666666,0.896875,0.890625,2,0.17987576264083455,0.20820506306585493,123,hidden_DEN_NEU,DEN+NEU
wl_pcqr,WL-PCQR,SW,9,1152,0.0666525503690115,0.03730827115194187,0.7399470592625746,0.8944023832937084,0.9461805555555556,0.1667047092085244,0.13475104320816994,0.9571012997753616,0.21693940228022435,0.9461805555555556,0.9125,0.90625,6,0.1667047092085244,0.21693940228022435,42,observed,none
wl_pcqr,WL-PCQR,SW,9,1152,0.14756945209338201,0.08742579499777157,0.29346511113520823,0.5280755126812529,0.9296875,0.3123310103089467,0.173159300521387,0.7327886180603121,0.5930703566629469,0.9296875,0.8875,0.875,2,0.3123310103089467,0.5930703566629469,42,hidden_RDEP_LOG10_RMED_LOG10,RDEP_LOG10+RMED_LOG10
wl_pcqr,WL-PCQR,SW,9,1152,0.06692296062652814,0.03763899356070301,0.7411449564382137,0.8943132747241863,0.9574652777777778,0.17811175488134223,0.1386033187680728,0.9261438822262846,0.21987544036112674,0.9574652777777778,0.9140625,0.8828125,7,0.17811175488134223,0.21987544036112674,7,observed,none
wl_pcqr,WL-PCQR,SW,9,1152,0.15259355054645576,0.09538899110545304,0.27859523148027354,0.535046480584466,0.9288194444444444,0.3338999455671428,0.17658452484322734,0.7296630073107175,0.5910464119665234,0.9288194444444444,0.8734375,0.8671875,2,0.3338999455671428,0.5910464119665234,7,hidden_RDEP_LOG10_RMED_LOG10,RDEP_LOG10+RMED_LOG10
