target,stress_setting,hidden_logs,delta_coverage,delta_p10_well_coverage,delta_worst_well_coverage,delta_width,delta_winkler,delta_rmse
PHIF,DEN_NEU,DEN+NEU,0.01822916666666663,0.03750000000000009,0.04166666666666663,0.13547943348495578,0.14637760341981837,0.046492511476658616
SW,RDEP_LOG10_RMED_LOG10,RDEP_LOG10+RMED_LOG10,-0.02517361111111116,-0.035937499999999956,-0.0234375,0.15660899342164233,0.37456248099906,0.08376906351307607
VSH,GR,GR,0.02228009259259256,0.05364583333333339,0.1015625,0.43774572686951274,0.48397641375267275,0.1455069315742191
