target,seed,method,method_label,splits,n,rmse,mae,r2,corr,coverage,width,width_std,width_cv,winkler,macro_well_coverage,p10_well_coverage,worst_well_coverage,macro_well_width,macro_well_winkler
PHIF,42,source_only_rf_cqr,Source-only RF-CQR,9,1440,0.016627723142944528,0.010279876918521428,0.939437415343292,0.9735333292007363,0.8986111111111111,0.045284443138869916,0.01966481594030202,0.4275622756768516,0.08633718227091079,0.8986111111111111,0.7937500000000001,0.39375,0.045284443138869916,0.08633718227091079
PHIF,7,source_only_rf_cqr,Source-only RF-CQR,9,1440,0.016753050190424147,0.010313981096179895,0.9379759450612224,0.9732193611473996,0.9027777777777778,0.0450770540437172,0.020347457247738936,0.43851233717045973,0.08477292223017861,0.9027777777777778,0.81125,0.43125,0.0450770540437172,0.08477292223017863
PHIF,123,source_only_rf_cqr,Source-only RF-CQR,9,1440,0.0165969118484764,0.010222863974033252,0.9395609794100425,0.9735160135029574,0.9027777777777778,0.04584151755219744,0.0201247862873543,0.429812396135342,0.08502200256334763,0.9027777777777778,0.8087500000000001,0.41875,0.04584151755219744,0.08502200256334763
SW,42,source_only_rf_cqr,Source-only RF-CQR,9,1440,0.0783600154243852,0.049090415722177747,0.6320671993150211,0.863517687791552,0.9055555555555556,0.18171451211647896,0.1328748453382128,0.87346730085557,0.25262715296312366,0.9055555555555556,0.7999999999999999,0.725,0.181714512116479,0.25262715296312366
SW,7,source_only_rf_cqr,Source-only RF-CQR,9,1440,0.07924224673697407,0.05020952688802734,0.6227025006817122,0.8621983868771672,0.9027777777777778,0.18694786460152954,0.13247614127664858,0.8679658537484384,0.25979125712440826,0.9027777777777778,0.77,0.7,0.18694786460152954,0.2597912571244083
SW,123,source_only_rf_cqr,Source-only RF-CQR,9,1440,0.07963392039853188,0.050918443067715924,0.6268315495879287,0.8615171047627208,0.9138888888888889,0.19172033689051118,0.13445252913126382,0.8516682883080684,0.2517936594186244,0.9138888888888889,0.81125,0.73125,0.19172033689051118,0.2517936594186244
VSH,42,source_only_rf_cqr,Source-only RF-CQR,9,1440,0.06073212938514468,0.046217068782128196,0.9128232279224521,0.9717079180747166,0.9027777777777778,0.19534526007888067,0.06088684350826426,0.31077244029098344,0.2618227813108392,0.9027777777777778,0.8025,0.7875,0.19534526007888067,0.26182278131083914
VSH,7,source_only_rf_cqr,Source-only RF-CQR,9,1440,0.06208405754110095,0.0471140193281806,0.9051256686489928,0.9704650988943367,0.9,0.19533333219146354,0.06754970980708261,0.3436183920943099,0.2650637714325181,0.8999999999999999,0.80625,0.78125,0.19533333219146354,0.26506377143251814
VSH,123,source_only_rf_cqr,Source-only RF-CQR,9,1440,0.060957194276302196,0.04637252418534587,0.9109095296876477,0.9714500032714224,0.8965277777777778,0.1926958096196135,0.059008865883865655,0.3020496603391144,0.2618072416339143,0.8965277777777777,0.8125,0.7875,0.19269580961961352,0.2618072416339142
